Number,First_Name,Last_Name,Position,DOB,,Years_in_league,College
22,Wilson,Chandler,PF,May 10 1987,us,10,DePaul University
23,Jimmy,Butler,SG,September 14 1989,us,7,Marquette University
25,Ben,Simmons,PG,July 20 1996,au,1,Louisiana State University
12,T.J.,McConnell,PG,March 25 1992,us,3,Duquesne University University of Arizona
30,Furkan,Korkmaz,SG,July 24 1997,tr,1,NA
NA,Justin,Patton,C,June 14 1997,us,1,Creighton University
20,Markelle,Fultz,SG,May 29 1998,us,1,University of Washington
31,Mike,Muscala,PF,July 1 1991,us,5,Bucknell University
21,Joel,Embiid,C,March 16 1994,cm,2,University of Kansas
NA,Zhaire,Smith,G,June 4 1999,us,R,Texas Tech University
1,Landry,Shamet,SG,March 13 1997,us,R,Wichita State University
17,J.J.,Redick,SG,June 24 1984,us,12,Duke University
5,Amir,Johnson,C,May 1 1987,us,13,NA
43,Jonah,Bolden,PF,January 2 1996,au,R,University of California Los Angeles
18,Shake,Milton,SG,September 26 1996,us,R,Southern Methodist University
11,Demetrius,Jackson,PG,September 7 1994,us,2,University of Notre Dame
